parentUUID,rawTitle,cleanTitle,totalHoursWatched,imdbMatchedTitle,imdbMatchConfidence,imdbLink,imdbGenres,imdbType,imdbUserRating,imdbNumRatings,directorCount,writerCount,castCount,producerCount,composerCount,cinematographerCount,editorCount,castingDirectorCount,artDirectorCount,setDecoratorCount,costumeDesignerCount,makeUpDepartmentCount,productionManagerCount,assistantDirectorCount,artDepartmentCount,soundDepartmentCount,stuntsCount,cameraDepartmentCount,costumeDepartmentCount,editorialDepartmentCount,musicDepartmentCount,scriptDepartmentCount,miscellaneousCrewCount
60b642e0-1438-4fab-a56a-3fca2cec35b9,Midnight at the Pera Palace: Season 1 // Pera Palas'ta Gece Yarısı: 1. Sezon,Midnight at the Pera Palace,5600000,Midnight at the Pera Palace,100,https://www.imdb.com/title/tt13317508/,"Drama, History, Mystery",TV Series,7,10K,2,7,53,8,1,1,3,1,1,,1,23,4,11,19,20,24,54,20,19,1,2,30
8f6881b1-44bd-47af-85b9-ed444cfd630e,The Privilege // Das Privileg – Die Auserwählten,The Privilege,5600000,The Privilege,100,https://www.imdb.com/title/tt14637290/,"Drama, Horror, Mystery",TV Movie,4.7,5.8K,2,6,23,3,1,1,1,1,,,1,2,2,4,1,8,8,3,,1,,,3
e81d8e9e-0f22-47d1-a77d-27225ce877e4,Wakfu: Season 1,Wakfu,11500000,Wakfu,100,https://www.imdb.com/title/tt1807824/,"Animation, Action, Adventure",TV Series,8.2,1.9K,15,19,187,3,2,,5,,1,,,,9,3,7,8,,,,,2,1,2
87b47654-f2fd-4386-a3cf-f3df95586556,Agent Elvis: Season 1,Agent Elvis,5500000,Agent Elvis,100,https://www.imdb.com/title/tt10814036/,"Animation, Action, Comedy",TV Series,6.8,2.4K,4,18,32,24,2,,1,1,2,,,,5,,17,10,,,1,3,1,1,14
f52a0805-289a-4425-b6f0-7c3c94573929,Summer Time Rendering: Season 1 // サマータイムレンダ: シーズン1,Summer Time Rendering,5600000,Summer Time Rendering,100,https://www.imdb.com/title/tt15686254/,"Animation, Drama, Fantasy",TV Series,8.2,5.4K,14,2,49,7,3,1,1,,2,,,,,1,20,6,,,,,1,,
8859351b-7b1e-4799-9ceb-1dd3d1b4b5de,Blue Lagoon: The Awakening,Blue Lagoon: The Awakening,5500000,Blue Lagoon: The Awakening,96.15,https://www.imdb.com/title/tt2287663/,"Drama, Romance",TV Movie,5.3,17K,2,3,35,7,1,2,1,2,1,1,1,6,5,5,8,12,5,26,4,4,2,1,26
4e6b40fa-1a6f-472a-8b63-468e269bec03,BLOCKBUSTER: Season 1,BLOCKBUSTER,5500000,Blockbuster,100,https://www.imdb.com/title/tt16124614/,Comedy,TV Series,5.1,8.7K,4,12,87,13,1,1,4,3,2,2,1,5,1,5,19,10,5,34,7,7,5,1,22
b60962f4-b6a7-4a4c-8dc7-bf4da60737f3,High-Rise Invasion: Season 1 // 天空侵犯: シーズン1,High-Rise Invasion,5500000,High-Rise Invasion,100,https://www.imdb.com/title/tt13352232/,"Animation, Action, Horror",TV Series,6.5,4.1K,2,2,64,1,,1,2,,,,,,,,,2,,,,,,1,5
157d726c-71e6-4e4e-9719-090463c81c5f,Johnny Test: Season 2,Johnny Test,9400000,Johnny Test,100,https://www.imdb.com/title/tt0454349/,"Animation, Action, Adventure",TV Series,5.2,9.4K,7,73,18,31,3,,3,,1,,,,28,5,134,38,,2,,26,41,1,76
421c34c5-f9ca-4603-ad8b-249cab57030d,Feria: The Darkest Light: Season 1 // Feria: La luz más oscura: Season 1,Feria: The Darkest Light: Season 1,5500000,Feria: The Darkest Light,100,https://www.imdb.com/title/tt13323004/,"Crime, Drama, Fantasy",TV Series,5.7,3K,2,4,53,5,1,2,4,1,1,1,1,8,4,12,20,17,18,34,15,8,3,1,23
f45a132f-e534-4337-8503-72cb2068958f,Lies Hidden in my Garden: Season 1 // 마당이 있는 집: Season 1,Lies Hidden in my Garden,5500000,Lies Hidden in My Garden,100,https://www.imdb.com/title/tt27763346/,"Drama, Mystery, Thriller",TV Mini Series,7,434,1,1,23,1,,,,,,,,,,,,,,,,,,,
